qc_id,fid,dirección,latitude,longitude,fecha,icon_url
"0","1","LA RIBERA (Camino), Barakaldo",43.2969875,-2.9862029,01-2022,
"1","2","AXULAR (Calle), 6, Barakaldo",43.2913006,-2.9935046,01-2022,
"2","3","GERNIKAKO ARBOLA (Avenida), 30, Barakaldo",43.2915045,-2.9917422,01-2022,
"3","4","JUAN DE GARAI (Calle), 3, Barakaldo",43.2567492,-2.9332614,01-2022,
"4","5","LA PAZ (Calle), Barakaldo",43.2810853,-2.9880258,01-2022,
"5","6","LA PAZ (Calle), Barakaldo",43.2810853,-2.9880258,01-2022,
"6","7","LA PAZ (Calle), Barakaldo",43.2810853,-2.9880258,01-2022,
"7","8","ZULOKO (Calle), 2, Barakaldo",43.2903165,-3.0013579,01-2022,
"8","9","NAFARROA (Calle), 14, Barakaldo",43.2969875,-2.9862029,01-2022,
"9","11","MURRIETA (Calle), Barakaldo",43.3009137,-2.9884207,01-2022,
"10","12","KAREAGA (Calle), 1, Barakaldo",43.2869809,-3.0077703,01-2022,
"11","13","BEURKO VIEJO (Calle), Barakaldo",43.3016854,-2.9974385,01-2022,
"12","14","MUNIBE (Calle), 6, Barakaldo",43.2993865,-2.9903267,01-2022,
"13","15","LA LIBERTAD (Avenida), 35, Barakaldo",43.2969875,-2.9862029,01-2022,
"14","16","CASTILLA-LEON (Calle), 7, Barakaldo",43.2948234,-2.9857605,01-2022,
"15","17","BIZKAIA (Calle), 46, Barakaldo",43.2939372,-2.9843139,01-2022,
"16","18","ALTOS HORNOS DE VIZCAYA (Avenida), 5, Barakaldo",43.2969875,-2.9862029,01-2022,
"17","19","LANDETA (Calle), 1, Barakaldo",43.2924708,-2.9886702,01-2022,
"18","20","ARAUTI (Calle), 16, Barakaldo",43.2997055,-2.9956896,01-2022,
"19","22","LA CALZADA (Calle), Barakaldo",43.2806247,-2.980211,01-2022,
"20","23","JUNTAS GENERALES (Calle), Barakaldo",43.2978061,-2.9894093,01-2022,
"21","24","LURKIZAGA (Calle), 4, Barakaldo",43.2931371,-2.9856409,01-2022,
"22","25","LOS FUEROS (Paseo), Barakaldo",43.2959595,-2.9872547,01-2022,
"23","26","EUSKADI (Avenida), 1, Barakaldo",43.2969875,-2.9862029,01-2022,
"24","27","LA LIBERTAD (Avenida), 48, Barakaldo",43.2969875,-2.9862029,01-2022,
"25","28","EXTREMADURA (Calle), Barakaldo",43.2903191,-2.9953849,01-2022,
"26","29","ZORRILLA (Calle), Barakaldo",43.3011792,-2.994469,01-2022,
"27","30","FRANCisc·o GOMEZ (Calle), 4, Barakaldo",43.2961451,-2.9946864,01-2022,
"28","31","LA LIBERTAD (Avenida), 37, Barakaldo",43.2969875,-2.9862029,01-2022,
"29","32","LA LIBERTAD (Avenida), 37, Barakaldo",43.2969875,-2.9862029,01-2022,
"30","33","LA LIBERTAD (Avenida), 37, Barakaldo",43.2969875,-2.9862029,01-2022,
"31","34","LA RIBERA·(Camino), Barakaldo",43.2969875,-2.9862029,01-2022,
"32","35","LA RIBERA (Camino), Barakaldo",43.2969875,-2.9862029,01-2022,
"33","36","LA RIBERA (Camino), Barakaldo",43.2969875,-2.9862029,01-2022,
"34","37","ALTOS HORNOS DE VIZCAYA, Barakaldo",43.2969875,-2.9862029,01-2022,
"35","38","KARRANZAIRU (Calle), Barakaldo",43.2969504,-2.9875791,01-2022,
"36","39","BUEN PASTOR (Calle), Barakaldo",43.1881174,-2.4613737,01-2022,
"37","40","LA LIBERTAD (Avenida), 11, Barakaldo",43.2969875,-2.9862029,01-2022,
"38","41","FRANCISCO GOMEZ (Calle), Barakaldo",43.2969875,-2.9862029,01-2022,
"39","42","LA PAZ (Calle), Barakaldo",43.2810853,-2.9880258,01-2022,
"40","43","LA PAZ (Calle), Barakaldo",43.2810853,-2.9880258,01-2022,
"41","44","EL FERROCARRIL (Paseo), Barakaldo",43.2969875,-2.9862029,01-2022,
"42","46","ELECTRICA NERVION (Calle), Barakaldo",43.300286,-2.9827955,01-2022,
"43","47","ANSIO (Plaza), Barakaldo",43.2835467,-2.9928658,01-2022,
"44","48","LASESARRE (Calle), Barakaldo",43.3020077,-2.9896478,01-2022,
"45","49","LUCHANA MINING (Calle), 4, Barakaldo",43.2892559,-2.9778952,01-2022,
"46","50","JUAN DE GARAI (Calle), 3, Barakaldo",43.2567492,-2.9332614,01-2022,
"47","51","FRANCISCO GOMEZ (Calle), 6, Barakaldo",43.2969875,-2.9862029,01-2022,
"48","52","ARRANDI (Calle), 26, Barakaldo",43.2956962,-2.9861551,01-2022,
"49","53","ARRANDI (Calle), 28, Barakaldo",43.2956962,-2.9861551,01-2022,
"50","55","ISMAEL GOROSTIZA (Calle), Barakaldo",43.2878028,-2.9871232,01-2022,
"51","57","JUAN DE GARAI (Calle), 1, Barakaldo",43.2569004,-2.9335702,01-2022,
"52","59","DOLORES IBARRURI (Paseo), 82, Barakaldo",43.300056,-2.9896847,01-2022,
"53","60","DOLORES IBARRURI (Paseo), 82, Barakaldo",43.300056,-2.9896847,01-2022,
"54","61","DOLORES IBARRURI (Paseo), 82, Barakaldo",43.300056,-2.9896847,01-2022,
"55","62","LASESARRE (Calle), 10, Barakaldo",43.3020077,-2.9896478,01-2022,
"56","63","RUBEN DARIO (Calle), 12, Barakaldo",43.2969875,-2.9862029,01-2022,
"57","64","LA CONSTANCIA (Calle), Barakaldo",43.2761948,-2.9805453,01-2022,
"58","66","RUBEN DARIO (Calle), 12, Barakaldo",43.2969875,-2.9862029,01-2022,
"59","68","MUGURUZA (Calle), Barakaldo",43.2993235,-2.9916717,01-2022,
"60","69","BIZKAIA (Calle), 28, Barakaldo",43.2943471,-2.9866775,01-2022,
"61","70","LUCHANA MINING (Calle), Barakaldo",43.2892559,-2.9778952,01-2022,
"62","71","BIZKAIA (Calle), 27, Barakaldo",43.2946835,-2.9867947,01-2022,
"63","72","LA LIBERTAD (Avenida}, 43, Barakaldo",43.2969875,-2.9862029,01-2022,
"64","73","LA LIBERTAD (Avenida), 45, Barakaldo",43.2969875,-2.9862029,01-2022,
"65","74","LETXEZAR (Calle), 12, Barakaldo",43.3007146,-2.9901334,01-2022,
"66","75","LA PAZ (Calle), 1, Barakaldo",43.2969875,-2.9862029,01-2022,
"67","76","LA PAZ (Calle), 1, Barakaldo",43.2969875,-2.9862029,01-2022,
"68","77","LA PAZ (Calle), 1, Barakaldo",43.2969875,-2.9862029,01-2022,
"69","78","LA PAZ (Calle), 1, Barakaldo",43.2969875,-2.9862029,01-2022,
"70","79","LA PAZ (Calle), 1, Barakaldo",43.2969875,-2.9862029,01-2022,
"71","80","FERRERIAS (Calle), 37, Barakaldo",43.3010627,-2.9919303,01-2022,
"72","82","BALEJO (Calle), 4, Barakaldo",43.2837761,-2.9833673,01-2022,
"73","83","ELECTRICA NERVION (Calle), Barakaldo",43.300286,-2.9827955,01-2022,
"74","84","CASTILLA-LA MANCHA (Calle), 3, Barakaldo",43.2955764,-2.9850411,01-2022,
"75","85","LA PAZ (Calle), Barakaldo",43.2810853,-2.9880258,01-2022,
"76","86","LA LIBERTAD (Avenida), 37, Barakaldo",43.2969875,-2.9862029,01-2022,
"77","87","LASESARRE (Calle), 16, Barakaldo",43.3020077,-2.9896478,01-2022,
